128	128
16	16
7
0	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	0	1	0	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	0	1	0	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	
5	6	2	3	3	3	3	3	3	3	4	7	7	3	3	3	3	3	4	7	7	3	3	3	3	3	3	3	3	8	5	6	5	6	2	3	3	3	4	7	7	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	8	5	6	5	6	2	3	3	3	4	7	7	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	6	
0	1	9	10	9	10	9	10	9	10	11	12	12	10	9	10	9	10	11	12	12	10	9	10	9	10	9	10	9	13	0	1	0	1	9	10	9	10	11	12	12	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	13	0	1	0	1	14	14	14	14	11	12	12	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	13	0	1	
5	6	10	9	10	9	10	9	10	9	15	12	12	9	10	9	10	9	15	12	12	9	10	9	10	9	10	9	10	16	5	6	5	6	10	9	10	9	15	12	12	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	16	5	6	5	6	14	9	10	14	15	12	12	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	16	5	6	
0	1	9	10	9	10	9	10	9	10	11	12	12	10	9	10	9	10	11	12	12	10	9	10	9	10	9	10	9	13	0	1	0	1	9	10	9	10	11	12	12	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	13	0	1	0	1	14	10	9	14	11	12	12	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	17	17	10	9	10	9	13	0	1	
5	6	10	9	10	9	10	9	10	9	15	12	12	9	10	9	10	9	15	12	12	9	10	9	10	9	10	9	10	16	18	19	19	20	10	9	10	9	15	12	12	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	16	5	6	5	6	14	14	14	14	15	12	12	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	15	12	12	9	10	9	10	16	5	6	
0	1	9	21	22	23	9	17	17	10	11	24	24	10	9	17	17	10	11	24	24	10	9	17	17	10	9	10	9	13	25	19	19	26	9	10	9	10	11	12	12	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	13	0	1	0	1	9	10	9	10	11	12	12	10	9	27	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	29	10	9	17	17	10	11	12	12	10	9	10	9	13	0	1	
5	6	10	30	31	32	15	12	12	9	15	33	33	9	15	12	12	9	15	33	33	9	15	12	12	9	10	9	10	34	5	6	5	6	35	9	10	9	15	12	12	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	16	5	6	5	6	10	9	10	9	15	12	12	9	15	7	27	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	29	7	9	15	12	12	9	15	12	12	9	10	9	10	16	5	6	
0	1	9	36	37	38	11	12	12	10	9	10	9	10	11	12	12	10	9	10	9	10	11	12	12	10	9	10	9	34	0	1	0	1	35	10	9	10	11	12	12	10	9	10	9	10	9	17	17	10	9	10	9	10	9	10	9	10	9	10	9	13	0	1	0	1	9	10	9	10	11	12	12	10	11	12	7	39	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	41	7	12	10	11	12	12	10	11	12	12	10	9	10	9	13	0	1	
5	6	10	9	10	9	15	12	12	9	10	9	10	9	15	12	12	9	10	9	10	9	15	12	12	9	10	9	10	16	5	6	5	6	10	9	10	9	15	12	12	9	10	9	10	9	15	12	12	9	10	9	10	9	10	9	10	9	10	9	10	16	5	6	5	6	10	9	10	9	15	12	12	9	15	12	12	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	15	12	12	9	15	12	12	9	15	12	12	9	10	9	10	16	5	6	
0	1	9	10	9	10	11	12	12	10	9	10	9	10	11	12	12	10	9	10	9	10	11	12	12	10	9	10	9	13	0	1	0	1	9	10	9	10	11	12	12	10	9	10	9	10	11	12	12	10	9	10	9	10	9	10	9	10	9	10	9	13	0	1	0	1	9	10	9	10	11	12	12	10	11	12	12	10	9	27	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	29	10	11	12	12	10	11	12	12	10	11	12	12	10	9	10	9	13	0	1	
